	TeamName	Annotation
0	Товарищи Ленины	, Товарищ Ленин, , , , , , , 
1	Без царя в голове	Мстители, , , , , , , , 
2	Шоти	Шоты, , , , , , , , 
3	эпЮцентр вселенского зла	, Эпицентр вселенского зла, , , , , , , 
4	Цветочек Вяленький	, Аленький цветочек, , , , , , , 
5	Застенчивые абормоты	, Застенчивые обормоты, , , , , , , 
6	Кубик рубика	Кубик рубик, , , , , , , , 
7	Илюша и 7 гномов	, Белоснежка и 7 гномов, , , , , , , 
8	Вдисятке	В десятке, , , , , , , , 
9	Грей Сашу, Сашу Грей!	, Саша Грей, , , , , , , 
10	Звездные воины	, Звёздные войны, , , , , , , 
11	сОлями	Салями, , , , , , , , 
12	Идентификация Порна	, идентификация Борна, , , , , , , 
13	Кошмар на улице Фряньково	, Кошмар на улице Вязов, , , , , , , 
14	Имитация Сарказма	, Имутация 18+, , , , , , , 
15	СТОМОТОЛОГИ	, Стоматологи , , , , , , , 
16	Желтые сугробы	Желтые тюльпаны, , , , , , , , 
17	Постограмм и в койку	, По сто грамм, , , , , , , 
18	Третий не лишний	, Третий лишний, , , , , , , 
19	Пармезанская башня	, Пизанская башня, , , , , , , 
20	Плотина Логи	Плати налоги, , , , , , , , 
21	Отряд мозгоубийц	, Отряд самоубийц, , , , , , , 
22	Уравнобешенные	, Уравновешанные, , , , , , , 
23	"""Надд пропастью не ржи"" "	, Над пропастью во ржи, , , , , , , 
24	Братство пивца	Братство кольца, , , , , , , , 
25	Стол ешница	Столешница, , , , , , , , 
26	Your Bunny wrote	, мат, , , , , , , 
27	Пупа за лупу	мат, , , , , , , , 
28	Клуб анонимных теоретиков	, Клуб анонимных алкоголиков, , , , , , , 
29	Лось Анджелес	Лос-Анджелес, , , , , , , , 
30	расКВИЗдяи	мат, , , , , , , , 
31	BROzzers	Brazzers, , , , , , , , 
32	Стиль ву плед	Силь ву пле, , , , , , , , 
33	Бьюти фри на карантине	, Дьюти Фри на карантине, , , , , , , 
34	Пес да Лис	мат, , , , , , , , 
35	BADняги	Бедняги, , , , , , , , 
36	Куртка Бейна	Курт Кобейн, , , , , , , , 
37	Каинкулы Бонифация	, Каникулы Бонифация, , , , , , , 
38	Ана нас	Ананас, , , , , , , , 
39	Галинастоп	Голеностоп, , , , , , , , 
40	Инфузория в туфельку	, Инфузория туфелька, , , , , , , 
41	ХачиКо	Хатико, , , , , , , , 
42	Котик в хату	Вечер в хату, , , , , , , , 
43	Большой черный челн	, мат, , , , , , , 
44	Разгульный Ироль Николаев	, Разгульный Игорь Николаев, , , , , , , 
45	Что наша жизнь - ИКРА	, Что наша жизнь-игра, , , , , , , 
46	Большой Чернрый Челн	, мат, , , , , , , 
47	Пинки и Флойди	Пинк Флойд, , , , , , , , 
48	Секешфехервар Камбербэтч	, Бенедикт Камбербэтч, , , , , , , 
49	Число Ти	Число Пи, , , , , , , , 
50	Спорная солянка	, Сборная солянка, , , , , , , 
51	Кроновирус	Короновирус, , , , , , , , 
52	Таможня дает бобров	, Таможня даёт добро, , , , , , , 
53	Кусь-Кусь-Клан	Ку кус клан, , , , , , , , 
54	Мало пооовин	Мало половин, , , , , , , , 
55	Ю ма ха- ю ма со	, You my heart you my soul, , , , , , , 
56	Криик Вильгельма	, Криг Вильгельма, , , , , , , 
57	Умаштурман	Ума Турман, , , , , , , , 
58	Бесперсктивняк	Бесперспективняк, , , , , , , , 
59	требую присутсивя Авокады	, требую пристутсвтия адвоката, , , , , , , 
60	Е2знакомы	Едва знакомы, , , , , , , , 
61	Люди Хэ	Люди Х, , , , , , , , 
62	Незнайка в Солнечном ГорГороде	, Незнайка в солнечном городе, , , , , , , 
63	Снежински	Снежинки, , , , , , , , 
64	Чеширский штрих-ко	, Чеширский кот, , , , , , , 
65	Капитан Сало	Капитан Соло, , , , , , , , 
66	КапиТаньская Дичъ	, Капитанская дочка, , , , , , , 
67	Что? Где? Зачем тебе?	, Что? Где? Когда?, , , , , , , 
68	Кошкин Еж	Ежкин кот, , , , , , , , 
69	Одухотворенные пальчики	, Одухотворенные мальчики, , , , , , , 
70	Бодрые бобры	Добрые бобры, , , , , , , , 
71	поBEDA	Победа, , , , , , , , 
72	Hroniki	Хроники, , , , , , , , 
73	Друзья Друзя	Друзья друзей, , , , , , , , 
74	Унесенные феном	, Унесенные ветром, , , , , , , 
75	КоронаВитас	Короновирус, , , , , , , , 
76	BALDEJ	Балдёж, , , , , , , , 
